"phone","country"
"97455200000","AE"
"0557570000","AE"
"971568080000","AE"
"971501180000","AE"
"4542680000","AE"
"447581120000","AE"
"971569250000","AE"
"447477010000","GB"
"353879850000","GB"
"15083380000","GB"
"34917250000","GB"
"0031322000","GB"
"0015133910000","GB"
"971585350000","GB"
"15146250000","GB"
"340626660000","GB"
"17869080000","GB"
"351965590000","GB"
"18065770000","GB"
"33661990000","GB"
"44447976710000","GB"
"18589970000","GB"
"442036840000","GB"
"905317050000","GB"
"4407800780000","GB"
"554896660000","GB"
"0046705590000","GB"
"447842190000","GB"
"4474970000","GB"
"27845050000","GB"
"4407900600000","GB"
"0016144930000","GB"
"60193310000","GB"
"0007922920000","GB"
"14802550000","GB"
"310681900000","GB"
"004795460000","GB"
"8282269110000","GB"
"46702590000","GB"
"490034675690000","GB"
"34690260000","GB"
"0046708460000","GB"
"13137010000","GB"
"822035640000","GB"
"000442010000","GB"
"43006603770000","GB"
"35056000000","GB"
"4407483220000","GB"
"32475910000","GB"
"0166630000","GB"
"320032497660230","GB"
"0014158470000","GB"
"19298100000","GB"
"18521050000","GB"
"442036840000","GB"
"49353874710758","GB"
"0093631000","GB"
"16463020000","GB"
"34935500000","GB"
"8602031240000","GB"
"15082690000","GB"
"971553380000","GB"
"14803000000","GB"
"64274590000","GB"
"41791060000","GB"
"12064730000","GB"
"79178220000","RU"
"9032970000","RU"
"5549260000","RU"
"79109810000","RU"
"01080100000","RU"
"90533930000","RU"
"79994420000","RU"
"53497000","RU"
"89247380000","RU"
"9817580000","RU"
"681015000","RU"
"0521333000","SA"
"0504718000","SA"
"0555940000","SA"
"0568505000","SA"
"0798611000","SA"
"99940000","SA"
"442036840000","SA"
"99940000","SA"
"1041760000","SA"
"558830000","SA"
"4983418040000","SI"
"3519010000","SI"
"33608570000","SI"
"31611120000","SI"
"36202400000","SI"
"905394550000","UZ"
"79104860000","UZ"
"12025940000","UZ"
"5316730000","UZ"
"931830000","UZ"
"998931830000","UZ"
"992927780000","UZ"
"1111110000","UZ"
"22271000","UZ"
"998770000","UZ"
"0014074010000","UZ"
"79097910000","UZ"
"971509040000","UZ"
"13054640000","UZ"
"0014074010000","UZ"
"913550000","UZ"
"821099060000","UZ"
"0014074010000","UZ"
"998597000","UZ"
"998934430000","UZ"
"359048000","UZ"
"1234000","UZ"
"0014074010000","UZ"
"544906000","UZ"
"971568920000","UZ"
"77755050000","UZ"
"79031300000","UZ"
